position,temperature,humidity,moisture,time,createdAt,updatedAt,__v
Malabe,29.3,75,1494,2025-04-08 16:06:10.382,2025-04-08 16:06:10.400,2025-04-08 16:06:10.400,0
Malabe,28.9,73,1525,2025-04-08 16:11:14.154,2025-04-08 16:11:14.154,2025-04-08 16:11:14.154,0
Malabe,28.9,72,1507,2025-04-08 16:16:17.738,2025-04-08 16:16:17.739,2025-04-08 16:16:17.739,0
Malabe,28.5,72,1506,2025-04-08 16:21:21.137,2025-04-08 16:21:21.137,2025-04-08 16:21:21.137,0
Malabe,28.5,73,1487,2025-04-08 16:26:24.564,2025-04-08 16:26:24.565,2025-04-08 16:26:24.565,0
Malabe,28.9,76,1486,2025-04-08 16:31:28.228,2025-04-08 16:31:28.228,2025-04-08 16:31:28.228,0
Malabe,28.9,76,1482,2025-04-08 16:36:31.684,2025-04-08 16:36:31.684,2025-04-08 16:36:31.684,0
Malabe,29.0,76,1517,2025-04-08 16:41:35.201,2025-04-08 16:41:35.202,2025-04-08 16:41:35.202,0
Malabe,28.9,76,1524,2025-04-08 16:46:38.609,2025-04-08 16:46:38.609,2025-04-08 16:46:38.609,0
Malabe,28.9,76,1520,2025-04-08 16:51:42.147,2025-04-08 16:51:42.147,2025-04-08 16:51:42.147,0
Malabe,28.9,76,1520,2025-04-08 16:56:49.087,2025-04-08 16:56:49.091,2025-04-08 16:56:49.091,0
Malabe,28.9,74,1471,2025-04-08 17:01:57.322,2025-04-08 17:01:57.326,2025-04-08 17:01:57.326,0
Malabe,28.5,72,1525,2025-04-08 17:07:01.592,2025-04-08 17:07:01.593,2025-04-08 17:07:01.593,0
Malabe,28.5,73,1482,2025-04-08 17:12:05.110,2025-04-08 17:12:05.110,2025-04-08 17:12:05.110,0
Malabe,28.5,74,1523,2025-04-08 17:17:08.737,2025-04-08 17:17:08.738,2025-04-08 17:17:08.738,0
Malabe,28.5,73,1517,2025-04-08 17:22:12.261,2025-04-08 17:22:12.261,2025-04-08 17:22:12.261,0
Malabe,28.9,73,1486,2025-04-08 17:27:15.648,2025-04-08 17:27:15.649,2025-04-08 17:27:15.649,0
Malabe,28.5,72,1519,2025-04-08 17:32:19.276,2025-04-08 17:32:19.276,2025-04-08 17:32:19.276,0
Malabe,28.5,74,1527,2025-04-08 17:37:22.688,2025-04-08 17:37:22.689,2025-04-08 17:37:22.689,0
Malabe,28.0,75,1502,2025-04-08 17:42:26.098,2025-04-08 17:42:26.098,2025-04-08 17:42:26.098,0
Malabe,28.5,75,1474,2025-04-08 17:47:30.004,2025-04-08 17:47:30.004,2025-04-08 17:47:30.004,0
Malabe,28.5,76,1521,2025-04-08 17:52:33.537,2025-04-08 17:52:33.538,2025-04-08 17:52:33.538,0
Malabe,28.9,75,1520,2025-04-08 17:57:37.048,2025-04-08 17:57:37.049,2025-04-08 17:57:37.049,0
